Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sports,41.49,29.02,3.77,8.46,82.74
Platform,29.08,3.58,6.81,0.77,40.24
Racing,15.85,12.88,3.79,3.31,35.82
Sports,15.75,11.01,3.28,2.96,33.0
Role-Playing,11.27,8.89,10.22,1.0,31.37
Puzzle,23.2,2.26,4.22,0.58,30.26
Platform,11.38,9.23,6.5,2.9,30.01
Misc,14.03,9.2,2.93,2.85,29.02
Platform,14.59,7.06,4.7,2.26,28.62
Shooter,26.93,0.63,0.28,0.47,28.31
Simulation,9.07,11.0,1.93,2.75,24.76
Racing,9.81,7.57,4.13,1.92,23.42
Role-Playing,9.0,6.18,7.2,0.71,23.1
Sports,8.94,8.03,3.6,2.15,22.72
Sports,9.09,8.59,2.53,1.79,22.0
Misc,14.97,4.94,0.24,1.67,21.82
Action,7.01,9.27,0.97,4.14,21.4
Action,9.43,0.4,0.41,10.57,20.81
Platform,12.78,3.75,3.54,0.55,20.61
Misc,4.75,9.26,4.16,2.05,20.22
Role-Playing,6.42,4.52,6.04,1.37,18.36
Platform,10.83,2.71,4.18,0.42,18.14
Platform,9.54,3.44,3.84,0.46,17.28
Action,9.63,5.31,0.06,1.38,16.38
Action,8.41,5.49,0.47,1.78,16.15
Role-Playing,6.06,3.9,5.38,0.5,15.85
Role-Playing,5.57,3.28,5.65,0.82,15.32
Puzzle,3.44,5.36,5.32,1.18,15.3
Racing,6.85,5.09,1.87,1.16,14.98
Shooter,9.03,4.28,0.13,1.32,14.76
Role-Playing,5.89,5.04,3.12,0.59,14.64
Shooter,9.67,3.73,0.11,1.13,14.64
Role-Playing,5.17,4.05,4.34,0.79,14.35
Shooter,5.77,5.81,0.35,2.31,14.24
Shooter,4.99,5.88,0.65,2.52,14.03
Shooter,8.25,4.3,0.07,1.12,13.73
Shooter,8.52,3.63,0.08,1.29,13.51
Shooter,5.54,5.82,0.49,1.62,13.46
Action,6.99,4.51,0.3,1.3,13.1
Fighting,6.75,2.61,2.66,1.02,13.04
Shooter,5.98,4.44,0.48,1.83,12.73
Simulation,2.55,3.52,5.33,0.88,12.27
Racing,4.74,3.91,2.67,0.89,12.21
Shooter,7.97,2.83,0.13,1.21,12.14
Action,3.8,5.81,0.36,2.02,11.98
Action,4.4,2.77,3.96,0.77,11.9
Platform,6.91,2.85,1.91,0.23,11.89
Racing,3.01,0.01,1.1,7.53,11.66
Platform,6.16,3.4,1.2,0.76,11.52
Role-Playing,4.23,3.37,3.08,0.65,11.33
Adventure,6.16,2.04,2.69,0.29,11.18
Action,6.76,3.1,0.14,1.03,11.02
Racing,4.02,3.87,2.54,0.52,10.95
Platform,4.89,2.99,2.13,0.78,10.79
Racing,2.96,4.88,0.81,2.12,10.77
Shooter,4.99,3.69,0.38,1.63,10.69
Action,4.76,3.76,0.44,1.62,10.57
Platform,5.99,2.15,2.12,0.29,10.55
Role-Playing,4.34,2.65,3.15,0.35,10.49
Platform,5.08,3.11,1.25,0.98,10.42
Misc,6.05,3.15,0.0,1.07,10.26
Shooter,6.72,2.63,0.04,0.82,10.21
Shooter,7.03,1.98,0.08,0.78,9.88
Racing,5.55,1.94,2.23,0.15,9.87
Platform,3.66,3.07,2.47,0.63,9.82
Shooter,6.63,2.36,0.04,0.73,9.76
Role-Playing,3.01,2.47,3.28,0.96,9.72
Shooter,4.09,3.73,0.38,1.38,9.59
Misc,5.84,2.89,0.01,0.78,9.52
Racing,3.88,3.42,1.69,0.5,9.49
Shooter,5.91,2.38,0.13,0.9,9.32
Platform,4.36,1.71,3.0,0.23,9.3
Misc,5.58,2.83,0.02,0.77,9.2
Simulation,2.01,2.32,4.36,0.41,9.09
Misc,4.46,1.88,1.98,0.7,9.02
Role-Playing,5.03,2.86,0.1,0.85,8.84
Racing,3.54,1.24,3.81,0.18,8.76
Sports,1.11,6.06,0.06,1.26,8.49
Misc,1.79,3.53,2.49,0.68,8.49
Shooter,6.82,1.53,0.05,0.08,8.49
Misc,3.81,2.3,1.58,0.73,8.42
Role-Playing,2.91,1.86,3.14,0.43,8.33
Action,1.06,5.05,0.13,2.01,8.24
Simulation,0.98,6.42,0.0,0.71,8.11
Shooter,5.8,2.01,0.13,0.15,8.09
Sports,2.58,3.9,0.66,0.91,8.06
Role-Playing,2.91,2.07,2.73,0.33,8.05
Role-Playing,2.28,1.72,3.63,0.23,7.86
Role-Playing,2.82,1.78,2.69,0.55,7.84
Puzzle,7.28,0.45,0.0,0.08,7.81
Action,2.9,2.83,0.24,1.75,7.72
Platform,3.66,2.42,0.98,0.64,7.69
Shooter,2.93,3.29,0.22,1.23,7.67
Shooter,2.8,3.3,0.14,1.37,7.6
Action,4.1,1.89,1.45,0.16,7.6
Platform,3.78,2.17,1.31,0.31,7.58
Platform,5.39,1.18,0.7,0.19,7.46
