Year,Publisher,Global_Sales
2006.0,Nintendo,82.74
1985.0,Nintendo,40.24
2008.0,Nintendo,35.82
2009.0,Nintendo,33.0
1996.0,Nintendo,31.37
1989.0,Nintendo,30.26
2006.0,Nintendo,30.01
2006.0,Nintendo,29.02
2009.0,Nintendo,28.62
1984.0,Nintendo,28.31
2005.0,Nintendo,24.76
2005.0,Nintendo,23.42
1999.0,Nintendo,23.1
2007.0,Nintendo,22.72
2009.0,Nintendo,22.0
2010.0,Microsoft Game Studios,21.82
2013.0,Take-Two Interactive,21.4
2004.0,Take-Two Interactive,20.81
1990.0,Nintendo,20.61
2005.0,Nintendo,20.22
2006.0,Nintendo,18.36
1989.0,Nintendo,18.14
1988.0,Nintendo,17.28
2013.0,Take-Two Interactive,16.38
2002.0,Take-Two Interactive,16.15
2002.0,Nintendo,15.85
2010.0,Nintendo,15.32
2005.0,Nintendo,15.3
2001.0,Sony Computer Entertainment,14.98
2011.0,Activision,14.76
1998.0,Nintendo,14.64
2010.0,Activision,14.64
2013.0,Nintendo,14.35
2015.0,Activision,14.24
2012.0,Activision,14.03
2012.0,Activision,13.73
2009.0,Activision,13.51
2011.0,Activision,13.46
2001.0,Take-Two Interactive,13.1
2008.0,Nintendo,13.04
2010.0,Activision,12.73
2005.0,Nintendo,12.27
2011.0,Nintendo,12.21
2007.0,Microsoft Game Studios,12.14
2014.0,Take-Two Interactive,11.98
2009.0,Nintendo,11.9
1996.0,Nintendo,11.89
2004.0,Sony Computer Entertainment,11.66
2007.0,Nintendo,11.52
2014.0,Nintendo,11.33
1992.0,Nintendo,11.18
2008.0,Take-Two Interactive,11.02
1997.0,Sony Computer Entertainment,10.95
2011.0,Nintendo,10.79
2010.0,Sony Computer Entertainment,10.77
2009.0,Activision,10.69
2008.0,Take-Two Interactive,10.57
1993.0,Nintendo,10.55
2004.0,Nintendo,10.49
2004.0,Nintendo,10.42
2011.0,Ubisoft,10.26
2013.0,Activision,10.21
2010.0,Microsoft Game Studios,9.88
1996.0,Nintendo,9.87
2012.0,Nintendo,9.82
2012.0,Microsoft Game Studios,9.76
1997.0,Sony Computer Entertainment,9.72
2013.0,Activision,9.59
2010.0,Ubisoft,9.52
1999.0,Sony Computer Entertainment,9.49
2007.0,Activision,9.32
1994.0,Nintendo,9.3
2013.0,Microsoft Game Studios,9.2
2012.0,Nintendo,9.09
2007.0,Nintendo,9.02
2011.0,Bethesda Softworks,8.84
