Platform,Genre,Global_Sales
Wii,Sports,82.74
NES,Platform,40.24
Wii,Racing,35.82
Wii,Sports,33.0
GB,Role-Playing,31.37
GB,Puzzle,30.26
DS,Platform,30.01
Wii,Misc,29.02
Wii,Platform,28.62
NES,Shooter,28.31
DS,Simulation,24.76
DS,Racing,23.42
GB,Role-Playing,23.1
Wii,Sports,22.72
Wii,Sports,22.0
X360,Misc,21.82
PS3,Action,21.4
PS2,Action,20.81
SNES,Platform,20.61
DS,Misc,20.22
DS,Role-Playing,18.36
GB,Platform,18.14
NES,Platform,17.28
X360,Action,16.38
PS2,Action,16.15
GBA,Role-Playing,15.85
DS,Role-Playing,15.32
DS,Puzzle,15.3
PS2,Racing,14.98
X360,Shooter,14.76
GB,Role-Playing,14.64
X360,Shooter,14.64
3DS,Role-Playing,14.35
PS4,Shooter,14.24
PS3,Shooter,14.03
X360,Shooter,13.73
X360,Shooter,13.51
PS3,Shooter,13.46
PS2,Action,13.1
Wii,Fighting,13.04
PS3,Shooter,12.73
DS,Simulation,12.27
3DS,Racing,12.21
X360,Shooter,12.14
PS4,Action,11.98
DS,Action,11.9
N64,Platform,11.89
PS2,Racing,11.66
Wii,Platform,11.52
3DS,Role-Playing,11.33
GB,Adventure,11.18
X360,Action,11.02
PS,Racing,10.95
3DS,Platform,10.79
PS3,Racing,10.77
PS3,Shooter,10.69
PS3,Action,10.57
SNES,Platform,10.55
GBA,Role-Playing,10.49
DS,Platform,10.42
Wii,Misc,10.26
X360,Shooter,10.21
X360,Shooter,9.88
N64,Racing,9.87
3DS,Platform,9.82
X360,Shooter,9.76
PS,Role-Playing,9.72
PS3,Shooter,9.59
Wii,Misc,9.52
PS,Racing,9.49
X360,Shooter,9.32
SNES,Platform,9.3
X360,Misc,9.2
3DS,Simulation,9.09
DS,Misc,9.02
X360,Role-Playing,8.84
SNES,Racing,8.76
PS4,Sports,8.49
Wii,Misc,8.49
XB,Shooter,8.49
Wii,Misc,8.42
DS,Role-Playing,8.33
PS3,Action,8.24
PC,Simulation,8.11
N64,Shooter,8.09
Wii,Sports,8.06
PS2,Role-Playing,8.05
PS,Role-Playing,7.86
DS,Role-Playing,7.84
2600,Puzzle,7.81
PSP,Action,7.72
Wii,Platform,7.69
PS4,Shooter,7.67
PS4,Shooter,7.6
N64,Action,7.6
PS,Platform,7.58
NES,Platform,7.46
3DS,Fighting,7.45
X360,Shooter,7.37
X360,Shooter,7.34
Wii,Action,7.31
XOne,Shooter,7.3
Wii,Misc,7.27
PS3,Shooter,7.23
PS2,Racing,7.2
PS,Fighting,7.16
PS,Platform,7.13
GC,Fighting,7.07
WiiU,Racing,6.96
PS4,Role-Playing,6.96
GC,Racing,6.95
Wii,Misc,6.91
PS3,Sports,6.9
PS2,Racing,6.9
PS2,Shooter,6.83
PS3,Action,6.83
PS,Platform,6.82
Wii,Sports,6.81
X360,Shooter,6.76
PS3,Action,6.73
PS3,Shooter,6.72
PS3,Sports,6.69
DS,Misc,6.67
PS3,Action,6.6
PS4,Sports,6.59
Wii,Platform,6.59
PS3,Role-Playing,6.56
NES,Action,6.51
PS3,Action,6.5
XB,Shooter,6.43
GBA,Role-Playing,6.41
PS2,Role-Playing,6.4
GB,Role-Playing,6.39
X360,Shooter,6.36
X360,Action,6.34
GC,Platform,6.31
SNES,Fighting,6.3
PC,Role-Playing,6.28
PS,Action,6.27
X360,Sports,6.24
X360,Shooter,6.24
X360,Shooter,6.11
PS2,Action,6.05
GEN,Platform,6.03
PS3,Action,6.03
PS,Action,6.03
PS3,Action,5.99
PS2,Role-Playing,5.95
PS3,Platform,5.92
DS,Role-Playing,5.84
Wii,Action,5.83
PS,Action,5.82
PS,Fighting,5.74
DS,Simulation,5.72
PS4,Shooter,5.65
NES,Puzzle,5.58
PS3,Action,5.57
N64,Fighting,5.55
X360,Adventure,5.55
PS3,Action,5.53
X360,Racing,5.51
PSP,Role-Playing,5.5
GBA,Platform,5.49
GBA,Racing,5.47
GBA,Platform,5.46
N64,Strategy,5.45
PS3,Shooter,5.43
PS2,Platform,5.42
PS3,Misc,5.42
PS3,Role-Playing,5.36
GB,Puzzle,5.34
GB,Misc,5.31
X360,Action,5.3
PS,Role-Playing,5.3
PS2,Role-Playing,5.29
N64,Platform,5.27
X360,Action,5.27
DS,Puzzle,5.26
PS,Action,5.24
PS2,Sports,5.23
PS2,Role-Playing,5.21
PC,Role-Playing,5.2
GBA,Platform,5.2
WiiU,Platform,5.19
GB,Platform,5.19
X360,Action,5.18
DS,Action,5.17
