Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
2006.0,41.49,29.02,3.77,8.46
1985.0,29.08,3.58,6.81,0.77
2008.0,15.85,12.88,3.79,3.31
2009.0,15.75,11.01,3.28,2.96
1996.0,11.27,8.89,10.22,1.0
1989.0,23.2,2.26,4.22,0.58
2006.0,11.38,9.23,6.5,2.9
2006.0,14.03,9.2,2.93,2.85
2009.0,14.59,7.06,4.7,2.26
1984.0,26.93,0.63,0.28,0.47
2005.0,9.07,11.0,1.93,2.75
2005.0,9.81,7.57,4.13,1.92
1999.0,9.0,6.18,7.2,0.71
2007.0,8.94,8.03,3.6,2.15
2009.0,9.09,8.59,2.53,1.79
2010.0,14.97,4.94,0.24,1.67
2013.0,7.01,9.27,0.97,4.14
2004.0,9.43,0.4,0.41,10.57
1990.0,12.78,3.75,3.54,0.55
2005.0,4.75,9.26,4.16,2.05
2006.0,6.42,4.52,6.04,1.37
1989.0,10.83,2.71,4.18,0.42
1988.0,9.54,3.44,3.84,0.46
2013.0,9.63,5.31,0.06,1.38
2002.0,8.41,5.49,0.47,1.78
2002.0,6.06,3.9,5.38,0.5
2010.0,5.57,3.28,5.65,0.82
2005.0,3.44,5.36,5.32,1.18
2001.0,6.85,5.09,1.87,1.16
2011.0,9.03,4.28,0.13,1.32
1998.0,5.89,5.04,3.12,0.59
2010.0,9.67,3.73,0.11,1.13
2013.0,5.17,4.05,4.34,0.79
2015.0,5.77,5.81,0.35,2.31
2012.0,4.99,5.88,0.65,2.52
2012.0,8.25,4.3,0.07,1.12
2009.0,8.52,3.63,0.08,1.29
2011.0,5.54,5.82,0.49,1.62
2001.0,6.99,4.51,0.3,1.3
2008.0,6.75,2.61,2.66,1.02
2010.0,5.98,4.44,0.48,1.83
2005.0,2.55,3.52,5.33,0.88
2011.0,4.74,3.91,2.67,0.89
2007.0,7.97,2.83,0.13,1.21
2014.0,3.8,5.81,0.36,2.02
2009.0,4.4,2.77,3.96,0.77
1996.0,6.91,2.85,1.91,0.23
2004.0,3.01,0.01,1.1,7.53
