Platform,Total Global Sales
PS2,1255640000.0
X360,979960000.0
PS3,957840000.0
Wii,926710000.0
DS,822490000.0
PS,730660000.0
GBA,318500000.0
PSP,296280000.0
PS4,278100000.0
PC,258820000.0
XB,258260000.0
GB,255450000.0
NES,251070000.0
3DS,247460000.0
N64,218880000.0
SNES,200050000.0
GC,199360000.0
XOne,141060000.0
2600,97080000.0
WiiU,81860000.0
PSV,61930000.0
SAT,33590000.0
GEN,28360000.0
DC,15970000.0
SCD,1870000.0
NG,1440000.0
WS,1420000.0
TG16,160000.0
3DO,100000.0
GG,40000.0
PCFX,30000.0
