District,Genre,Total_District_Sales
NA,Action,877830000.0
NA,Sports,683350000.0
NA,Shooter,582600000.0
NA,Platform,447050000.0
NA,Misc,410240000.0
NA,Racing,359420000.0
NA,Role-Playing,327280000.0
NA,Fighting,223590000.0
NA,Simulation,183310000.0
NA,Puzzle,123780000.0
NA,Adventure,105800000.0
NA,Strategy,68700000.0
EU,Action,525000000.0
EU,Sports,376850000.0
EU,Shooter,313270000.0
EU,Racing,238390000.0
EU,Misc,215980000.0
EU,Platform,201630000.0
EU,Role-Playing,188060000.0
EU,Simulation,113380000.0
EU,Fighting,101320000.0
EU,Adventure,64130000.0
EU,Puzzle,50780000.0
EU,Strategy,45340000.0
JP,Role-Playing,352310000.0
JP,Action,159950000.0
JP,Sports,135370000.0
JP,Platform,130770000.0
JP,Misc,107760000.0
JP,Fighting,87350000.0
JP,Simulation,63700000.0
JP,Puzzle,57310000.0
JP,Racing,56690000.0
JP,Adventure,52070000.0
JP,Strategy,49460000.0
JP,Shooter,38280000.0
Other,Action,187380000.0
Other,Sports,134970000.0
Other,Shooter,102690000.0
Other,Racing,77270000.0
Other,Misc,75320000.0
Other,Role-Playing,59610000.0
Other,Platform,51590000.0
Other,Fighting,36680000.0
Other,Simulation,31520000.0
Other,Adventure,16810000.0
Other,Puzzle,12550000.0
Other,Strategy,11360000.0
