Publisher,Total_Global_Sales
Nintendo,1786560000.0
Electronic Arts,1110320000.0
Activision,727460000.0
Sony Computer Entertainment,607500000.0
Ubisoft,474720000.0
Take-Two Interactive,399540000.0
THQ,340770000.0
Konami Digital Entertainment,283640000.0
Sega,272990000.0
Namco Bandai Games,254090000.0
Microsoft Game Studios,245790000.0
Capcom,200890000.0
Atari,157220000.0
Warner Bros. Interactive Entertainment,153890000.0
Square Enix,145180000.0
Disney Interactive Studios,119960000.0
Eidos Interactive,98980000.0
LucasArts,87340000.0
Bethesda Softworks,82140000.0
Midway Games,69850000.0
Acclaim Entertainment,64140000.0
Vivendi Games,58210000.0
SquareSoft,57650000.0
505 Games,55910000.0
Tecmo Koei,53550000.0
Codemasters,47870000.0
Virgin Interactive,43870000.0
Unknown,34660000.0
Enix Corporation,33740000.0
Deep Silver,25670000.0
GT Interactive,25230000.0
D3Publisher,24130000.0
Sony Computer Entertainment Europe,23890000.0
Hudson Soft,23010000.0
MTV Games,20970000.0
Universal Interactive,17770000.0
Banpresto,17400000.0
Rising Star Games,17310000.0
Infogrames,16340000.0
Majesco Entertainment,16080000.0
Hasbro Interactive,15220000.0
Nippon Ichi Software,14280000.0
989 Studios,13320000.0
Zoo Digital Publishing,12870000.0
Atlus,12740000.0
Level 5,12170000.0
Empire Interactive,11290000.0
ASCII Entertainment,10890000.0
3DO,10120000.0
Crave Entertainment,9930000.0
RedOctane,8680000.0
TDK Mediactive,8310000.0
Mindscape,7740000.0
Global Star,7650000.0
Focus Home Interactive,7510000.0
Fox Interactive,7390000.0
Psygnosis,7270000.0
Activision Value,6960000.0
Ignition Entertainment,6820000.0
Interplay,6660000.0
SouthPeak Games,6350000.0
Spike,6150000.0
Red Orb,5240000.0
Parker Bros.,4970000.0
Tomy Corporation,4970000.0
BAM! Entertainment,4950000.0
Imagic,4820000.0
Zoo Games,4820000.0
Arena Entertainment,4720000.0
Koch Media,4710000.0
City Interactive,4610000.0
Ubisoft Annecy,4460000.0
Nordic Games,4440000.0
Destineer,4360000.0
Play It,4310000.0
PQube,4270000.0
Marvelous Interactive,4170000.0
Palcom,4170000.0
ChunSoft,4070000.0
Idea Factory,4020000.0
Game Factory,3790000.0
Kadokawa Shoten,3770000.0
Gotham Games,3720000.0
GSP,3690000.0
Natsume,3690000.0
Square,3640000.0
Ocean,3610000.0
DTP Entertainment,3590000.0
Sony Online Entertainment,3530000.0
SCi,3520000.0
Mattel Interactive,3510000.0
Oxygen Interactive,3460000.0
Takara,3450000.0
Maxis,3390000.0
Titus,3320000.0
Black Bean Games,3290000.0
Valve Software,3230000.0
GungHo,3150000.0
Coleco,3060000.0
Human Entertainment,3000000.0
Avanquest,3000000.0
Scholastic Inc.,2910000.0
Mojang,2890000.0
Taito,2840000.0
JVC,2800000.0
Ghostlight,2790000.0
Sammy Corporation,2730000.0
Telltale Games,2720000.0
Midas Interactive Entertainment,2720000.0
Takara Tomy,2700000.0
Imagineer,2650000.0
Alchemist,2630000.0
NCSoft,2590000.0
SNK,2590000.0
Rondomedia,2580000.0
Compile,2460000.0
Kalypso Media,2450000.0
Marvelous Entertainment,2330000.0
Red Storm Entertainment,2320000.0
UEP Systems,2250000.0
Mastiff,2230000.0
Enterbrain,2230000.0
Kemco,2220000.0
Video System,2180000.0
Little Orbit,2040000.0
Microprose,2020000.0
ASC Games,2020000.0
RTL,2000000.0
Success,1960000.0
