Year,District,Total_District_Sales
nan,NA,0.0
1980.0,NA,10590000.0
1981.0,NA,33400000.0
1982.0,NA,26920000.0
1983.0,NA,7760000.0
1984.0,NA,33280000.0
1985.0,NA,33730000.0
1986.0,NA,12500000.0
1987.0,NA,8460000.0
1988.0,NA,23870000.0
1989.0,NA,45150000.0
1990.0,NA,25460000.0
1991.0,NA,12760000.0
1992.0,NA,33870000.0
1993.0,NA,15120000.0
1994.0,NA,28150000.0
1995.0,NA,24820000.0
1996.0,NA,86760000.0
1997.0,NA,94750000.0
1998.0,NA,128360000.0
1999.0,NA,126060000.0
2000.0,NA,94490000.0
2001.0,NA,173980000.0
2002.0,NA,216190000.0
2003.0,NA,193590000.0
2004.0,NA,222590000.0
2005.0,NA,242610000.0
2006.0,NA,263120000.0
2007.0,NA,312050000.0
2008.0,NA,351440000.0
2009.0,NA,338850000.0
2010.0,NA,304240000.0
2011.0,NA,241060000.0
2012.0,NA,154960000.0
2013.0,NA,154770000.0
2014.0,NA,131970000.0
2015.0,NA,102820000.0
2016.0,NA,22660000.0
2017.0,NA,0.0
2020.0,NA,270000.0
nan,EU,0.0
1980.0,EU,67000.0
1981.0,EU,196000.0
1982.0,EU,165000.0
1983.0,EU,80000.0
1984.0,EU,210000.0
1985.0,EU,474000.0
1986.0,EU,284000.0
1987.0,EU,141000.0
1988.0,EU,659000.0
1989.0,EU,844000.0
1990.0,EU,763000.0
1991.0,EU,395000.0
1992.0,EU,1171000.0
1993.0,EU,465000.0
1994.0,EU,1488000.0
1995.0,EU,1490000.0
1996.0,EU,4726000.0
1997.0,EU,4832000.0
1998.0,EU,6690000.0
1999.0,EU,6267000.0
2000.0,EU,5275000.0
2001.0,EU,9489000.0
2002.0,EU,10974000.0
2003.0,EU,10381000.0
2004.0,EU,10732000.0
2005.0,EU,12194000.0
2006.0,EU,12924000.0
2007.0,EU,16050000.0
2008.0,EU,18440000.0
2009.0,EU,19159000.0
2010.0,EU,17673000.0
2011.0,EU,16744000.0
2012.0,EU,11878000.0
2013.0,EU,12580000.0
2014.0,EU,12565000.0
2015.0,EU,9771000.0
2016.0,EU,2676000.0
2017.0,EU,0.0
2020.0,EU,0.0
nan,JP,0.0
1980.0,JP,0.0
1981.0,JP,0.0
1982.0,JP,0.0
1983.0,JP,8100000.0
1984.0,JP,14270000.0
1985.0,JP,14560000.0
1986.0,JP,19810000.0
1987.0,JP,11630000.0
1988.0,JP,15760000.0
1989.0,JP,18360000.0
1990.0,JP,14880000.0
1991.0,JP,14780000.0
1992.0,JP,28910000.0
1993.0,JP,25330000.0
1994.0,JP,33990000.0
1995.0,JP,45750000.0
1996.0,JP,57440000.0
1997.0,JP,48870000.0
1998.0,JP,50040000.0
1999.0,JP,52340000.0
2000.0,JP,42770000.0
2001.0,JP,39860000.0
2002.0,JP,41760000.0
2003.0,JP,34200000.0
2004.0,JP,41650000.0
2005.0,JP,54280000.0
2006.0,JP,73730000.0
2007.0,JP,60290000.0
2008.0,JP,60260000.0
2009.0,JP,61890000.0
2010.0,JP,59490000.0
2011.0,JP,53040000.0
2012.0,JP,51740000.0
2013.0,JP,47590000.0
2014.0,JP,39460000.0
2015.0,JP,33720000.0
2016.0,JP,13700000.0
2017.0,JP,50000.0
2020.0,JP,0.0
nan,Other,0.0
1980.0,Other,12000.0
1981.0,Other,32000.0
1982.0,Other,31000.0
1983.0,Other,14000.0
1984.0,Other,70000.0
1985.0,Other,92000.0
1986.0,Other,193000.0
1987.0,Other,20000.0
1988.0,Other,99000.0
1989.0,Other,150000.0
1990.0,Other,140000.0
1991.0,Other,74000.0
1992.0,Other,165000.0
1993.0,Other,89000.0
1994.0,Other,220000.0
1995.0,Other,264000.0
1996.0,Other,769000.0
1997.0,Other,913000.0
1998.0,Other,1103000.0
1999.0,Other,1005000.0
2000.0,Other,1162000.0
2001.0,Other,2276000.0
2002.0,Other,2728000.0
2003.0,Other,2601000.0
2004.0,Other,4729000.0
2005.0,Other,4058000.0
2006.0,Other,5443000.0
2007.0,Other,7760000.0
2008.0,Other,8239000.0
2009.0,Other,7477000.0
2010.0,Other,5990000.0
2011.0,Other,5439000.0
2012.0,Other,3782000.0
2013.0,Other,3982000.0
2014.0,Other,4002000.0
2015.0,Other,3001000.0
2016.0,Other,775000.0
2017.0,Other,0.0
2020.0,Other,2000.0
